website_link,product_name,product_size,price,color,model_number,material,img_location,image_link
https://www.alibaba.com/product-detail/AIBUZHIJIA-Yellow-Cushion-Cover-60-60_1601019375732.html,AIBUZHIJIA Yellow Cushion Cover 60*60 Cm Throw Pillow Cover 24x24 Inch Decorative Pillow Case,60*60cm,$25.12,Yellow, BP-201206, Polyester & Worsted,"['Images/13.jpg', 'Images/14.jpg', 'Images/15.jpg', 'Images/16.jpg', 'Images/17.jpg', 'Images/18.jpg']","['https://s.alicdn.com/@sc04/kf/Hf1f35bf8534b4938bb8fc696a98ab49bd.jpg', 'https://s.alicdn.com/@sc04/kf/H1d5671e11d504486bfbc88dc73fc9be35.jpg', 'https://s.alicdn.com/@sc04/kf/H9b09d2ccdab0429d9a562f36bad6119ap.jpg', 'https://s.alicdn.com/@sc04/kf/H6eb742d3a6894ad18f5a9e596655715d3.jpg', 'https://s.alicdn.com/@sc04/kf/Ha783e2682bec44b6923b0153aa7a20ffS.jpg', 'https://s.alicdn.com/@sc04/kf/Ha783e2682bec44b6923b0153aa7a20ffS.jpg']"
https://www.alibaba.com/product-detail/AIBUZHIJIA-Oversized-Throw-Pillows-60x60-Cm_1601019300960.html,AIBUZHIJIA Oversized Throw Pillows 60x60 Cm 24x24 Inch Decorative Cushion Cover Black Border Pillow Case,60*60cm,€29.49,White, BP-201205, Polyester & Woolen,"['Images/19.jpg', 'Images/20.jpg', 'Images/21.jpg', 'Images/22.jpg', 'Images/23.jpg', 'Images/24.jpg']","['https://s.alicdn.com/@sc04/kf/H8ed157e7fc9c490d95151be275a8b299N.jpg', 'https://s.alicdn.com/@sc04/kf/H592b915fbefc42a7acfcf50db1545990M.jpg', 'https://s.alicdn.com/@sc04/kf/Ha01ab7a465484bf3a91b0473db54c82b2.jpg', 'https://s.alicdn.com/@sc04/kf/Hc74983a4102c4f6693bb388e39fd892bR.jpg', 'https://s.alicdn.com/@sc04/kf/H51f048f200c44280b657d56b44b07515G.jpg', 'https://s.alicdn.com/@sc04/kf/H51f048f200c44280b657d56b44b07515G.jpg']"
https://www.alibaba.com/product-detail/AIBUZHIJIA-Black-Border-Pillow-Case-60_1601019367684.html,AIBUZHIJIA Black Border Pillow Case 60*60 Cm 24*24 Inch Throw Pillow Cover Big Size Decorative Cushion Cover,60*60cm,€18.17,Gray White, BP-201204, Cotton Linen & Polyester,"['Images/25.jpg', 'Images/26.jpg', 'Images/27.jpg', 'Images/28.jpg', 'Images/29.jpg', 'Images/30.jpg']","['https://s.alicdn.com/@sc04/kf/H868da252bf1443ba8adf02e47acdb05eJ.jpg', 'https://s.alicdn.com/@sc04/kf/H53ebf4f4d75344e099a22c7ad775771fB.jpg', 'https://s.alicdn.com/@sc04/kf/Hcbe79e442a7f4a22a86669adaa65b751U.jpg', 'https://s.alicdn.com/@sc04/kf/H2ee76c376361432992748d5dda1bef12L.jpg', 'https://s.alicdn.com/@sc04/kf/H0c1e06365ab64ca29e38acc242acd118o.jpg', 'https://s.alicdn.com/@sc04/kf/H0c1e06365ab64ca29e38acc242acd118o.jpg']"
https://www.alibaba.com/product-detail/AIBUZHIJIA-Large-Cushion-Covers-24x24-Inch_1601019379538.html,AIBUZHIJIA Large Cushion Covers 24x24 Inch 60*60 Cm Throw Pillow Cover with Tassel,60*60cm,€20.88,Gray, BP-201203, Cotton Linen & Polyester,"['Images/31.jpg', 'Images/32.jpg', 'Images/33.jpg', 'Images/34.jpg', 'Images/35.jpg', 'Images/36.jpg']","['https://s.alicdn.com/@sc04/kf/H6f2d71d598134c34866be9b8784f7ccbY.jpg', 'https://s.alicdn.com/@sc04/kf/Hef321155a2bd4e438e8689349fdfe033o.jpg', 'https://s.alicdn.com/@sc04/kf/H2bd194b325a94c4e8ea8d2fd2024b3835.jpg', 'https://s.alicdn.com/@sc04/kf/H805bbf803f6543c5bc91aeaf597947c49.jpg', 'https://s.alicdn.com/@sc04/kf/H4e71b44d581f4234934b01edc91eca62J.jpg', 'https://s.alicdn.com/@sc04/kf/H4e71b44d581f4234934b01edc91eca62J.jpg']"
https://www.alibaba.com/product-detail/AIBUZHIJIA-Pillow-Home-Decor-Cushion-Cover_1601019464019.html,AIBUZHIJIA Pillow Home Decor Cushion Cover 60x60 Cm 24x24 Inch Throw Pillow Cover with Tassel,60*60cm,€20.88,Rice Coffee, BP-201202, Cotton Linen & Polyester,"['Images/37.jpg', 'Images/38.jpg', 'Images/39.jpg', 'Images/40.jpg', 'Images/41.jpg', 'Images/42.jpg']","['https://s.alicdn.com/@sc04/kf/H371e08db77ee49b9a793ee42f6866697H.jpg', 'https://s.alicdn.com/@sc04/kf/He7be8ce27bd24110859a8b6ac6184887r.jpg', 'https://s.alicdn.com/@sc04/kf/H24f2e8758d4b49dd8eba0fc7d124f5d1Z.jpg', 'https://s.alicdn.com/@sc04/kf/H0c44ac361a304911bf9ba499d1f4df1dK.jpg', 'https://s.alicdn.com/@sc04/kf/H72e03185e0be4513a55aa4794107a3290.jpg', 'https://s.alicdn.com/@sc04/kf/H72e03185e0be4513a55aa4794107a3290.jpg']"
https://www.alibaba.com/product-detail/AIBUZHIJIA-Sage-Cushion-Cover-Throw-Pillow_1601019341621.html,AIBUZHIJIA Sage Cushion Cover Throw Pillow Cover Big Size 24x24 Inch 60*60 Cm for Home Decor,60*60cm,€27.25,Light Green, BP-201201, Polyester & Faux Lamb Wool,"['Images/43.jpg', 'Images/44.jpg', 'Images/45.jpg', 'Images/46.jpg', 'Images/47.jpg', 'Images/48.jpg']","['https://s.alicdn.com/@sc04/kf/Hf1ffc59782f241f6ad2baf651201296cg.jpg', 'https://s.alicdn.com/@sc04/kf/H03da12bd47fd41a8ae66ec71fbe3fce6P.jpg', 'https://s.alicdn.com/@sc04/kf/H7d2ad5f8e65d479596f4ca1fb3a5a3c31.jpg', 'https://s.alicdn.com/@sc04/kf/H6d3ff4e4298840d6aa3af23df434321fg.jpg', 'https://s.alicdn.com/@sc04/kf/H8b479d64c0ab4439ba1924da0920171aa.jpg', 'https://s.alicdn.com/@sc04/kf/H8b479d64c0ab4439ba1924da0920171aa.jpg']"
https://www.alibaba.com/product-detail/AIBUZHIJIA-Winter-Cushion-Cover-60-60_1601019375280.html,AIBUZHIJIA Winter Cushion Cover 60*60 Cm 24x24 Inch Throw Pillow Cover Gray Pillow Case,60*60cm,€19.46,Gray, BP-210402, Polyester & Faux Fur,"['Images/49.jpg', 'Images/50.jpg', 'Images/51.jpg', 'Images/52.jpg', 'Images/53.jpg', 'Images/54.jpg']","['https://s.alicdn.com/@sc04/kf/He2950449097f40039efd05b25bf835c3Q.jpg', 'https://s.alicdn.com/@sc04/kf/Hf821a43a16da4756ac60afdade1708d1w.jpg', 'https://s.alicdn.com/@sc04/kf/Ha410179040e5407b8804bcb27f0c6993R.jpg', 'https://s.alicdn.com/@sc04/kf/H2d9375e4231248079580fb4b3254a54aI.jpg', 'https://s.alicdn.com/@sc04/kf/H143b0c2242294ea1a4e38697b25dc083r.jpg', 'https://s.alicdn.com/@sc04/kf/H143b0c2242294ea1a4e38697b25dc083r.jpg']"
https://www.alibaba.com/product-detail/AIBUZHIJIA-Gray-Cushion-Cover-60-60_1601019328410.html,AIBUZHIJIA Gray Cushion Cover 60*60 Cm 24x24 Inch Decorative Pillow Cover Black Border Pillow Case,60*60cm,€20.64,Gray, BP-210401, Polyester & Woolen,"['Images/55.jpg', 'Images/56.jpg', 'Images/57.jpg', 'Images/58.jpg', 'Images/59.jpg', 'Images/60.jpg']","['https://s.alicdn.com/@sc04/kf/H53587656fad643d3b98e1711ba9b494e2.jpg', 'https://s.alicdn.com/@sc04/kf/Hf678390e6b804655a7ea9f0214ef521cM.jpg', 'https://s.alicdn.com/@sc04/kf/H392469a81f944104aa5a6b08e662942ef.jpg', 'https://s.alicdn.com/@sc04/kf/Hf0f39697835a4ab99a8e91aeb277738bY.jpg', 'https://s.alicdn.com/@sc04/kf/H1100308379eb46f595c8b7d60569c04fi.jpg', 'https://s.alicdn.com/@sc04/kf/H1100308379eb46f595c8b7d60569c04fi.jpg']"
https://www.alibaba.com/product-detail/AIBUZHIJIA-60-60-Pillow-Cushion-Cover_1601006713561.html,AIBUZHIJIA 60*60 Pillow Cushion Cover Luxury Black 24x24 Throw Pillow Cover for Home Decor,60*60cm,€26.57,Black & Gray, BP-230509, Polyester & Blends,"['Images/61.jpg', 'Images/62.jpg', 'Images/63.jpg', 'Images/64.jpg', 'Images/65.jpg', 'Images/66.jpg']","['https://s.alicdn.com/@sc04/kf/H44eec206746e48a0ba1f6fa40bf724bfo.jpg', 'https://s.alicdn.com/@sc04/kf/H4e6f4de04a5d4de7baeb0a2c68c993b8c.jpg', 'https://s.alicdn.com/@sc04/kf/H57cfa9b1c7d24c8eb275671d9d48177ez.jpg', 'https://s.alicdn.com/@sc04/kf/H3c8a5b4fac8d40e8a83952e7a5811113l.jpg', 'https://s.alicdn.com/@sc04/kf/Hf2dcaa4ce9f546c686bb58a59de6e1a1a.jpg', 'https://s.alicdn.com/@sc04/kf/Hf2dcaa4ce9f546c686bb58a59de6e1a1a.jpg']"
https://www.alibaba.com/product-detail/AIBUZHIJIA-24x24-Decorative-Throw-Pillow-Cover_1601006676892.html,AIBUZHIJIA 24x24 Decorative Throw Pillow Cover Cushion Cover 60*60 Cm Pillow Case for Home Decor,60*60cm,€25.15,White Coffee, BP-230510, Polyester & Blends,"['Images/67.jpg', 'Images/68.jpg', 'Images/69.jpg', 'Images/70.jpg', 'Images/71.jpg', 'Images/72.jpg']","['https://s.alicdn.com/@sc04/kf/H2a319eee6c9b43b3aed7591dc2f5fd92q.jpg', 'https://s.alicdn.com/@sc04/kf/Hb8dde2699374440fae6748ce8cb62c6ak.jpg', 'https://s.alicdn.com/@sc04/kf/H7c6fa28273424b7fb69bd617e5989a35T.jpg', 'https://s.alicdn.com/@sc04/kf/H5ea5b23578614ba881944053d1c3f51bM.jpg', 'https://s.alicdn.com/@sc04/kf/Hfa3b21921ba9416fb94c0f9e2457a687y.jpg', 'https://s.alicdn.com/@sc04/kf/Hfa3b21921ba9416fb94c0f9e2457a687y.jpg']"
